notion_id,idea_theme,niche,batch_priority,batch_stage,method,legal_check,niche_research_stage,seed_keyword,notes,ideas_url,design_url,ai_design_link,details_url,date_start,date_end,notion_url
20,Back To School,Religious,High,Research + Ideas,,false,Establish Demand,retro faith shirt,,https://docs.google.com/spreadsheets/d/18I-IoGhX-Lx2FGTcEQSyYCverlxyQZq6I0Wve1jzWwg/edit?gid=562546867#gid=562546867,,,https://docs.google.com/spreadsheets/d/19KgbMcdrjLG6DQQptoe-02HNISnsXL8bRNBAIwimylw/template/preview,2025-07-05T19:30:00Z,2025-07-05T20:00:00Z,https://app.notion.com/p/226ed686b47d80de8274ec9a7bf94847
11,Lake Life,Religious,High,Research + Ideas,,false,Establish Demand,Make Heaven Crowded,,https://docs.google.com/spreadsheets/d/18I-IoGhX-Lx2FGTcEQSyYCverlxyQZq6I0Wve1jzWwg/edit?gid=562546867#gid=562546867,,,https://docs.google.com/spreadsheets/d/19KgbMcdrjLG6DQQptoe-02HNISnsXL8bRNBAIwimylw/template/preview,2025-08-08T10:00:00Z,2025-08-08T10:30:00Z,https://app.notion.com/p/225ed686b47d802a9ba0de41a31426f3
18,Save The Bees,Religious,High,Research + Ideas,,false,Establish Demand,Pray over it,,https://docs.google.com/spreadsheets/d/18I-IoGhX-Lx2FGTcEQSyYCverlxyQZq6I0Wve1jzWwg/edit?gid=562546867#gid=562546867,,,https://docs.google.com/spreadsheets/d/19KgbMcdrjLG6DQQptoe-02HNISnsXL8bRNBAIwimylw/template/preview,2025-07-04,,https://app.notion.com/p/226ed686b47d804e800afb21120efb12
27,Its Still Cold,Religious,High,Research + Ideas,Personalisation,false,Establish Demand,Teen Baptism gifts,,https://docs.google.com/spreadsheets/d/18I-IoGhX-Lx2FGTcEQSyYCverlxyQZq6I0Wve1jzWwg/edit?gid=562546867#gid=562546867,,,https://docs.google.com/spreadsheets/d/19KgbMcdrjLG6DQQptoe-02HNISnsXL8bRNBAIwimylw/template/preview,2025-07-04,,https://app.notion.com/p/226ed686b47d80d38787fab343cfd10d
29,Your a Hot Tea,Religious,High,Research + Ideas,Personalisation,false,Establish Demand,Trust in the Lord,Take fundamentas,https://docs.google.com/spreadsheets/d/18I-IoGhX-Lx2FGTcEQSyYCverlxyQZq6I0Wve1jzWwg/edit?gid=562546867#gid=562546867,,,https://docs.google.com/spreadsheets/d/19KgbMcdrjLG6DQQptoe-02HNISnsXL8bRNBAIwimylw/template/preview,2025-07-04,,https://app.notion.com/p/226ed686b47d807e962bcc9a1da298cc
69,Noah Shirts - Team Noah - religious,Religious,High,Research + Ideas,,false,Establish Demand,yeshua shirt,,https://docs.google.com/spreadsheets/d/18I-IoGhX-Lx2FGTcEQSyYCverlxyQZq6I0Wve1jzWwg/edit?gid=562546867#gid=562546867,,,https://docs.google.com/spreadsheets/d/19KgbMcdrjLG6DQQptoe-02HNISnsXL8bRNBAIwimylw/template/preview,2025-08-14T13:00:00Z,2025-08-14T13:30:00Z,https://app.notion.com/p/238ed686b47d806e91a1f9cde09ac111
98,Combine with Birthdays and religion,Religious,High,Research + Ideas,Add Value,false,Establish Demand,50th birthday in christian shirt,,https://docs.google.com/spreadsheets/d/18I-IoGhX-Lx2FGTcEQSyYCverlxyQZq6I0Wve1jzWwg/edit?gid=562546867#gid=562546867,https://www.etsy.com/uk/listing/4359985301/comfort-colors-cute-fall-mallard-shirt,,https://docs.google.com/spreadsheets/d/19KgbMcdrjLG6DQQptoe-02HNISnsXL8bRNBAIwimylw/template/preview,2025-12-12,,https://app.notion.com/p/2c7ed686b47d8059bf7de0576b29561b
108,Flower,Religious,High,Research + Ideas,Add Value,false,Establish Demand,Christian Shirt Flower,,https://docs.google.com/spreadsheets/d/18I-IoGhX-Lx2FGTcEQSyYCverlxyQZq6I0Wve1jzWwg/edit?gid=562546867#gid=562546867,,,https://docs.google.com/spreadsheets/d/19KgbMcdrjLG6DQQptoe-02HNISnsXL8bRNBAIwimylw/template/preview,2026-01-02,,https://app.notion.com/p/2dced686b47d801ca0fcc5175c0138e9
123,Easter,Religious,High,Research + Ideas,,false,Gap in Market,He is Risen,,https://docs.google.com/spreadsheets/d/18I-IoGhX-Lx2FGTcEQSyYCverlxyQZq6I0Wve1jzWwg/edit?gid=562546867#gid=562546867,,,https://docs.google.com/spreadsheets/d/19KgbMcdrjLG6DQQptoe-02HNISnsXL8bRNBAIwimylw/template/preview,2026-01-08,,https://app.notion.com/p/2e2ed686b47d800890e1f05999499f8d
122,New Idea / Theme - Embroidered Jesus Sweatshirt,,High,Research + Ideas,,false,Establish Demand,Embroidered Jesus Sweatshirt,,https://docs.google.com/spreadsheets/d/18I-IoGhX-Lx2FGTcEQSyYCverlxyQZq6I0Wve1jzWwg/edit?gid=562546867#gid=562546867,,,https://docs.google.com/spreadsheets/d/19KgbMcdrjLG6DQQptoe-02HNISnsXL8bRNBAIwimylw/template/preview,2026-01-08,,https://app.notion.com/p/2e2ed686b47d80d59315e8c0c0708763
