notion_id,name,url,select_type,priority,checked
18aed686b47d81b5a09edd04f9f7aaaf,"My Print on Demand Profit Breakdown (How much profit does POD make?)",https://www.youtube.com/watch?v=I0HS1y6J3fo,Watch,Important,false
18aed686b47d814ead45ee0434b02e53,"The Notion Content System for YouTubers (Beginners & Full-Time Creators)",https://www.youtube.com/watch?v=lnwQN_GFYhs,Watch,Important,false
18ced686b47d810890acc65380cd9693,How I Manage SOPs in Notion - And Why You Should Too!,https://www.youtube.com/watch?v=CVWvzotlkFw,Watch,Important,false
18fed686b47d816da495d07e4eeaed04,"The Easiest A.I. Side Hustle That Makes $100+ Per Day",https://www.youtube.com/watch?v=EgaNKD-soNU,Watch,Important,false
190ed686b47d8101885adf95f44c410a,"Etsy Myths EXPOSED: What No One Tells You",https://www.youtube.com/watch?v=n3QXuny57R0,Watch,Important,false
19aed686b47d8169b517d5c94c3b99e3,"7 Strategies I'd Use To Grow Fast On Etsy If I Started Over Today (Print On Demand)",https://www.youtube.com/watch?v=QhX1pgsfFlc,Watch,Important,false
1a9ed686b47d81909ee9f963fafdc435,How Nicole Quickly Hit $10K/Month with Print on Demand,https://www.youtube.com/watch?v=OtZMqtiEJ8A,Watch,Important,false
188ed686b47d81fbbb9ef4ec9487c89c,The secret to success that new Etsy print on demand sellers skip,https://www.youtube.com/watch?v=AWeBglOf7m0,Watch,Medium,false
18aed686b47d8190b562e19d269d7057,Go Live With Us - 12 Week Batching Challenge,https://www.youtube.com/watch?v=jdtVeXO30Ik,Watch,Medium,false
18ced686b47d81c4ae38fe4abae35911,"Organize Your Life in Notion - 2025 Notion Planner Tour",https://www.youtube.com/watch?v=Ji6NIONhnZI,Watch,Medium,false
18fed686b47d81e9a5b8d82519d014e8,How to Time Block Your Tasks in Notion Calendar,https://www.youtube.com/watch?v=mPEgnXfKr4I,Watch,Medium,false
190ed686b47d811b88f4d476c4e5b1d2,The Ultimate Notion Setup for Agencies (2025),https://www.youtube.com/watch?v=suw4r88t-rk,Watch,Medium,false
195ed686b47d814bbc28d06320170468,Say Goodbye to Stiffness - 13 Minutes to Trigger your Mobility Anytime Anywhere,https://www.youtube.com/watch?v=5onufQmKJ6g,Watch,Medium,false
17bed686b47d8106b7a7ec0b1a707de3,Homemade Eggnog Recipe - Tastes Better From Scratch,https://tastesbetterfromscratch.com/homemade-eggnog/,Watch,Long Term,false
189ed686b47d816a88d9d83fe35a4ca6,The Over/Under Betting Strategy That Actually Works,https://www.youtube.com/watch?v=n1qZ2QqrQlQ,Watch,Long Term,false
189ed686b47d81f9accbce969a509faf,"I'm leaving the UK.... again + ecom brand update",https://www.youtube.com/watch?v=-f6WnF-3iMM,Watch,Long Term,false
18aed686b47d815083f6fb06ae5f4e33,"The Truth About Trading: Why 95% of Traders Don't Actually Lose!",https://www.youtube.com/watch?v=nkIZCQ3Piws,Watch,Long Term,false
18aed686b47d819fa23afe97856a5b33,How to do $500/day on autopilot Shopify Dropshipping,https://www.youtube.com/watch?v=IdwEZu_cXKs,Watch,Long Term,false
18aed686b47d810e9e0fca552c333efb,Save $80 Every Time You Go To The Grocery Store Buying Ribeye Steaks,https://www.youtube.com/watch?v=2lQuLhVZZaA,Watch,Long Term,false
18fed686b47d8122bd86f2471c7301a3,EASIEST Way To Find Winning Products in 2025 (Dropshipping),https://www.youtube.com/watch?v=ikcBuXQ5Arc,Watch,Long Term,false
195ed686b47d815b8218c05714703b76,"Try it. Feel it! Your body will thank you - mobility & bodyweight training",https://www.youtube.com/shorts/8qoY-LzzQ-U,Watch,Long Term,false
19ded686b47d813eb1aaf91ab0e044f8,The ULTIMATE YouTube System for Agencies,https://www.youtube.com/watch?v=SRWlhg6EHAM,Watch,Long Term,false
19eed686b47d81239c2ef1a209f71092,The James Dean Bradfield Guitars & Gear Interview,https://www.youtube.com/watch?v=bfhymGooYOw,Watch,Long Term,false
1a0ed686b47d813cbceed4b0d5aa27fb,How Much Can You Make Growing Mushrooms?,https://www.youtube.com/watch?v=JBvXkwtBWqw,Watch,Long Term,false
18fed686b47d816595bdcdf15f7f3e2a,Pro-Metabolic Nutrition System - ProMetabolic Life,https://www.prometaboliclife.com/product/pro-metabolic-nutrition-system/,Read,,false
